-2,-0.125,-0.375
-0.875,-0.6875,-0.125
-0.8125,-1.25,-0.4375
-0.0625,-0.75,0.125
-0.1875,-0.25,0.25
-1,-0.8125,0.1875
-1.25,-1,-0.25
-0.8125,-1.0625,0.3125
0.3125,-0.1875,0.1875
-0.3125,0.875,0.25
-1.125,0.4375,-0.0625
-0.5,-0.0625,0.1875
0.625,-0.1875,0.1875
-0.125,0.125,0.25
-0.5,1.75,0.3125
-0.5625,1.875,0.125
-1.875,1.3125,-0.375
-0.8125,0.875,-0.1875
-0.5,0.875,0.3125
-0.5,0.625,0.375
-0.4375,0.875,0.3125
-0.6875,1.125,-0.25
-1.875,-0.125,-0.25
-1.625,-0.6875,-0.25
-0.75,-0.625,-0.25
-0.3125,-1,-0.4375
0.375,-1.5,0.125
0.0625,-2,-0.25
-1.125,-2.4375,-0.6875
-1.3125,-1.9375,-0.8125
-0.25,-0.5,-0.5625
0.3125,0.125,-0.0625
0.1875,-0.1875,0.3125
0.6875,-0.1875,0.1875
-0.3125,-0.3125,-0.125
0.0625,-0.3125,-0.125
0.1875,0.375,0
-0.1875,0.25,0.25
-0.375,-0.0625,0.4375
-0.1875,-0.4375,0.375
0,-0.75,0.375
0.1875,-0.5,0.5
0.375,-0.1875,0.3125
0.5625,-0.25,0.5625
-0.3125,-0.375,0.625
-0.125,-0.875,0.6875
-1.1875,-0.5625,0.25
-0.375,-0.8125,0.4375
0.0625,-0.625,0.5625
0.4375,-0.375,0.875
0.5,-0.3125,0.75
0.4375,-0.375,0.625
-0.5,-0.3125,0.3125
-0.875,-0.625,-0.0625
-0.0625,-0.9375,0.1875
0.125,-0.75,0.125
-0.1875,-0.25,0.5
-0.1875,-0.0625,0.5
0.4375,-0.125,0.75
0.125,-0.125,0.5
-0.3125,-0.1875,0
-1.125,-0.8125,-0.3125
-0.6875,-0.4375,-0.1875
-0.4375,-0.4375,-0.25
-0.5,-0.5,-0.3125
0.5625,-0.6875,-0.0625
-0.125,-0.75,-0.3125
-0.1875,-0.6875,-0.375
-1.25,-0.1875,-0.3125
-0.1875,-0.5625,0.0625
0.75,-0.5,0.125
0.5625,-0.5625,0.125
0.125,-0.4375,-0.0625
-0.5,-0.4375,-0.4375
-0.375,-0.625,-0.6875
-0.1875,-0.9375,-0.375
0.125,-0.8125,-0.25
0.1875,-0.625,0.25
0.25,-0.5625,0.0625
-0.125,-0.4375,-0.25
0.1875,-0.3125,-0.25
0.3125,-0.25,-0.125
-0.625,-0.375,0
-0.4375,-0.25,0.1875
-0.0625,-0.25,0.3125
-0.0625,-0.25,-0.125
-0.1875,-0.75,-0.5
-0.125,-0.75,-0.3125
0.25,-0.875,-0.25
-0.25,-0.625,-0.125
0.125,-0.5625,-0.0625
-0.1875,-0.1875,-0.1875
-1.25,0.0625,-0.125
-1.1875,-0.125,-0.25
-0.375,0.25,0.125
0.625,0.5,0.5
0.125,0.625,0.8125
-0.25,0.5625,0.3125
-1.1875,0.625,-0.0625
-1.375,0.6875,-0.25
-0.125,0.875,-0.375
-0.375,-1.5,-1.375
-14.313,-8.8125,-6.8125
-43,-18.75,-15.25
-59,-12.813,-15.5
-47.063,-2.1875,-6.5625
-26.875,3.625,-7.3125
-15.313,10.5,-11.313
-5.8125,15,-12.188
-0.875,29.813,-12.313
4,43.875,-17
4.0625,41.875,-24.125
1,37.563,-31.625
8.375,30.75,-33.813
15.125,30,-38
